pattern,match_type,category,psp_or_entity,severity_if_investment_payment,explanation,source
"^[a-z0-9][a-z0-9._-]{1,60}\.brk@valid$",REGEX,VALID_INTERMEDIARY,SEBI validated handle - stock broker,0,"This is a SEBI-validated broker UPI handle. Handles ending in .brk@valid are issued only to registered stock brokers and are verifiable through SEBI Check.","SEBI circular on standardised UPI address mechanism for registered intermediaries, effective 01 Oct 2025"
"^[a-z0-9][a-z0-9._-]{1,60}\.mf@valid$",REGEX,VALID_INTERMEDIARY,SEBI validated handle - mutual fund,0,"This is a SEBI-validated mutual fund UPI handle. Handles ending in .mf@valid are issued only to registered mutual funds.","SEBI circular on standardised UPI address mechanism for registered intermediaries, effective 01 Oct 2025"
"^[a-z0-9][a-z0-9._-]{1,60}@valid$",REGEX,VALID_NO_CATEGORY,SEBI validated handle - missing category suffix,3,"This uses the @valid handle but without the .brk or .mf category suffix that a registered intermediary collecting investor money is required to carry. Treat with caution and verify on SEBI Check.","SEBI circular on standardised UPI address mechanism for registered intermediaries, effective 01 Oct 2025"
ybl,SUFFIX,PERSONAL_PSP,PhonePe,5,"This is a personal PhonePe UPI address. Money for any registered investment must go to the intermediary's validated @valid handle, never to a personal handle.","NPCI PSP handle list"
paytm,SUFFIX,PERSONAL_PSP,Paytm,5,"This is a personal Paytm UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
ptyes,SUFFIX,PERSONAL_PSP,Paytm,5,"This is a personal Paytm UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
ptsbi,SUFFIX,PERSONAL_PSP,Paytm,5,"This is a personal Paytm UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
ptaxis,SUFFIX,PERSONAL_PSP,Paytm,5,"This is a personal Paytm UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
pthdfc,SUFFIX,PERSONAL_PSP,Paytm,5,"This is a personal Paytm UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
okhdfcbank,SUFFIX,PERSONAL_PSP,Google Pay,5,"This is a personal Google Pay UPI address. No registered intermediary collects investor funds here.","NPCI PSP handle list"
okicici,SUFFIX,PERSONAL_PSP,Google Pay,5,"This is a personal Google Pay UPI address. No registered intermediary collects investor funds here.","NPCI PSP handle list"
oksbi,SUFFIX,PERSONAL_PSP,Google Pay,5,"This is a personal Google Pay UPI address. No registered intermediary collects investor funds here.","NPCI PSP handle list"
okaxis,SUFFIX,PERSONAL_PSP,Google Pay,5,"This is a personal Google Pay UPI address. No registered intermediary collects investor funds here.","NPCI PSP handle list"
upi,SUFFIX,PERSONAL_PSP,BHIM,5,"This is a personal BHIM UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
apl,SUFFIX,PERSONAL_PSP,Amazon Pay,5,"This is a personal Amazon Pay UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
yapl,SUFFIX,PERSONAL_PSP,Amazon Pay,5,"This is a personal Amazon Pay UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
axl,SUFFIX,PERSONAL_PSP,Axis Bank,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
ibl,SUFFIX,PERSONAL_PSP,IDBI / PhonePe,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
axisb,SUFFIX,PERSONAL_PSP,Axis Bank,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
sbi,SUFFIX,PERSONAL_PSP,State Bank of India,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
hdfcbank,SUFFIX,PERSONAL_PSP,HDFC Bank,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
icici,SUFFIX,PERSONAL_PSP,ICICI Bank,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
kotak,SUFFIX,PERSONAL_PSP,Kotak Mahindra Bank,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
cnrb,SUFFIX,PERSONAL_PSP,Canara Bank,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
barodampay,SUFFIX,PERSONAL_PSP,Bank of Baroda,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
pnb,SUFFIX,PERSONAL_PSP,Punjab National Bank,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
uboi,SUFFIX,PERSONAL_PSP,Union Bank of India,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
cbin,SUFFIX,PERSONAL_PSP,Central Bank of India,5,"This is a personal bank UPI address, not a SEBI-validated intermediary handle.","NPCI PSP handle list"
