"code","pattern","safe_context","rule_type","severity","explanation","legal_basis"
"GUARANTEED_RETURNS","(?:guarante+d?|gaurante+d?|garante+d?|guranteed|assured|100\s*%\s*(?:safe|sure|secure)|पक्का|गारंटी|गारंटीड)[^.!?\n]{0,25}(?:return|profit|income|payout|gain|munafa|मुनाफ़ा|मुनाफा|रिटर्न|लाभ)","","ILLEGAL_PROMISE","5","No SEBI-registered adviser or broker may promise guaranteed or assured returns on market investments. Anyone who does is either unregistered or lying.","SEBI (Investment Advisers) Regulations 2013; SEBI (PFUTP) Regulations 2003, Reg 3 & 4"
"ASSURED_RETURN_REVERSE","(?:return|profit|income|payout)[^.!?\n]{0,25}(?:is|are|will be|100\s*%)?[^.!?\n]{0,10}(?:guarante+d?|assured|fixed|certain|confirm(?:ed)?)","","ILLEGAL_PROMISE","5","This message promises a return that is guaranteed or fixed. Market returns cannot be guaranteed, and promising them is prohibited.","SEBI (PFUTP) Regulations 2003, Reg 3 & 4"
"FIXED_MONTHLY_INCOME","(?:fixed|guarante+d?|assured|pakka|पक्का)[^.!?\n]{0,20}(?:monthly|weekly|daily|per\s*month|per\s*day|har\s*mahine|मासिक)[^.!?\n]{0,20}(?:income|return|profit|payout|मुनाफा)","","ILLEGAL_PROMISE","5","A fixed monthly payout from stock market investment is not a legal product in India. This is the standard structure of a Ponzi scheme.","Banning of Unregulated Deposit Schemes Act 2019; SEBI (PFUTP) Regulations 2003"
"ZERO_RISK_EQUITY","(?:no\s*risk|zero\s*risk|risk\s*free|riskfree|without\s*any\s*risk|बिना\s*जोखिम)[^.!?\n]{0,40}(?:equity|share|stock|market|trading|invest|nifty|bank\s*nifty|option|f\s*&\s*o|शेयर|निवेश)","","CONTRADICTION","5","Equity and derivatives carry market risk by definition. A risk-free equity return is a contradiction, not a product.","SEBI (PFUTP) Regulations 2003, Reg 4(2)(k) - misleading advertisement"
"ZERO_RISK_REVERSE","(?:equity|share market|stock market|trading|nifty|option|intraday)[^.!?\n]{0,40}(?:no\s*risk|zero\s*risk|risk\s*free|100\s*%\s*safe)","","CONTRADICTION","5","This describes market trading as having no risk. That is false for every market product.","SEBI (PFUTP) Regulations 2003, Reg 4(2)(k)"
"DOUBLE_YOUR_MONEY","(?:double|triple|2\s*x|3\s*x|5\s*x|10\s*x|dugna|doguna|दोगुना|तिगुना)[^.!?\n]{0,30}(?:your\s*)?(?:money|capital|investment|amount|paisa|पैसा|रकम|निवेश)","","IMPLAUSIBLE_RETURN","5","Promises of doubling money in a fixed period are the signature of investment fraud. No legitimate market product works this way.","SEBI (PFUTP) Regulations 2003, Reg 3 & 4"
"PAY_TAX_TO_WITHDRAW","(?:pay|deposit|submit|clear|jama)[^.!?\n]{0,25}(?:the\s*)?(?:tax|tds|gst|processing\s*fee|clearance\s*fee|withdrawal\s*fee|service\s*charge|conversion\s*fee|unlock\s*fee)[^.!?\n]{0,45}(?:to\s*)?(?:withdraw|release|unlock|receive|redeem|get\s*your|transfer)","","FAKE_APP_SIGNATURE","5","Being asked to pay a fee before you can withdraw your own money is the defining move of a fake trading app. Real brokers deduct charges from the payout; they never ask you to send money first.","SEBI (Stock Brokers) Regulations 1992; BNS 2023 s.318 (cheating)"
"WITHDRAWAL_BLOCKED_PAY","(?:withdrawal|payout|redemption)[^.!?\n]{0,30}(?:blocked|on\s*hold|pending|frozen|failed|restricted)[^.!?\n]{0,60}(?:pay|deposit|fee|charge|tax)","","FAKE_APP_SIGNATURE","5","Your withdrawal is blocked until you pay something. This is how fake investment apps extract a second round of money from victims.","BNS 2023 s.318 (cheating)"
"PRE_IPO_EXCLUSIVE","(?:pre[\s\-]*ipo|pre[\s\-]*listing|unlisted\s*share|grey\s*market|gray\s*market)[^.!?\n]{0,40}(?:exclusive|guarante+d?|limited|allotment|confirm(?:ed)?|special\s*quota|book\s*now|assured)","","UNREGISTERED_OFFER","4","Exclusive or guaranteed pre-IPO allotments sold over chat are almost always fake. Genuine pre-IPO transfers happen through a demat account with a documented contract, never by paying an individual.","SEBI (ICDR) Regulations 2018; Companies Act 2013 s.42 (private placement)"
"IPO_GUARANTEED_ALLOTMENT","(?:ipo|allotment)[^.!?\n]{0,30}(?:guarante+d?|confirm(?:ed)?|100\s*%|assured|fixed)[^.!?\n]{0,20}(?:allotment|alloted|allotted|share)","","UNREGISTERED_OFFER","5","IPO allotment in an oversubscribed issue is decided by a computerised lottery run by the registrar. Nobody can guarantee you an allotment.","SEBI (ICDR) Regulations 2018"
"VIP_GROUP_INVITE","(?:vip|premium|exclusive|paid|special)[^.!?\n]{0,15}(?:group|channel|batch|club|community)[^.!?\n]{0,40}(?:join|add|invite|link|whatsapp|telegram|limited\s*seat)","","SOCIAL_ENGINEERING","3","Paid VIP stock-tip groups are the most common entry point into securities fraud. Registered advisers do not run anonymous tip groups.","SEBI (Investment Advisers) Regulations 2013, Reg 3 (registration required)"
"FREE_TRADING_COURSE","(?:free|muft|मुफ्त)[^.!?\n]{0,20}(?:trading|stock|share|demat|intraday|option)[^.!?\n]{0,20}(?:course|class|webinar|seminar|workshop|training|demo)","","SOCIAL_ENGINEERING","3","Free trading courses are commonly used to build trust before an investment pitch. Attending is not itself a fraud, but treat any payment request that follows with suspicion.","SEBI investor caution advisories"
"JOIN_TELEGRAM_WHATSAPP","(?:join|click|add)[^.!?\n]{0,25}(?:our\s*|my\s*|this\s*)?(?:telegram|whatsapp|wa\.me|t\.me)[^.!?\n]{0,25}(?:group|channel|link|now)","","SOCIAL_ENGINEERING","3","Investment advice delivered through an anonymous chat group has no regulatory accountability. You cannot complain to SEBI about someone you cannot identify.","SEBI (Investment Advisers) Regulations 2013"
"INSIDER_TIP","(?:insider|inside)[^.!?\n]{0,15}(?:information|news|tip|info)|(?:operator|jobber)[^.!?\n]{0,15}(?:news|tip|call)|(?:confirm(?:ed)?|pakka|पक्का)[^.!?\n]{0,15}(?:tip|news|call)","","MARKET_MANIPULATION","5","Acting on genuine insider information is a criminal offence, and claims of having it are usually bait. Either way, do not engage.","SEBI (Prohibition of Insider Trading) Regulations 2015"
