"id","entity","action","direction","suppressors","window","requires_ask","rule_type","severity","explanation","legal_basis"
"GUARANTEED_RETURNS","(?:\b(?:return|returns|profit|income|payout|gain|munafa)\b|मुनाफ़ा|मुनाफा|रिटर्न|लाभ)","(?:\b(?:guarante+d?|gaurante+d?|assured|assure|promise|fixed|certain|confirm(?:ed)?|100\s*%|pakka)\b|पक्का|गारंटी|गारंटीड)","UNSPECIFIED","subject\s+to\s+market\s+risk|read\s+all\s+scheme\s+related|past\s+performance|no\s+assurance\s+or\s+guarantee|does\s+not\s+guarantee|not\s+indicative\s+of\s+future|||\b(?:no|not|never|cannot|can't|without)\b[^.!?\n]{0,30}(?:guarante|assur)","90","false","ILLEGAL_PROMISE","5","No SEBI-registered adviser or broker may promise guaranteed or assured returns on market investments. Anyone who does is either unregistered or lying.","SEBI (Investment Advisers) Regulations 2013; SEBI (PFUTP) Regulations 2003, Reg 3 & 4"
"FIXED_MONTHLY_INCOME","\b(?:monthly|weekly|daily|per\s*month|per\s*day|har\s*mahine|मासिक)\b[^.!?\n]{0,24}\b(?:income|return|profit|payout|मुनाफा)\b","(?:\b(?:guarante+d?|gaurante+d?|assured|assure|promise|fixed|certain|confirm(?:ed)?|100\s*%|pakka)\b|पक्का|गारंटी|गारंटीड)","UNSPECIFIED","subject\s+to\s+market\s+risk|read\s+all\s+scheme\s+related|past\s+performance|no\s+assurance\s+or\s+guarantee|does\s+not\s+guarantee|not\s+indicative\s+of\s+future|||\b(?:no|not|never)\b[^.!?\n]{0,20}(?:guarante|assur|fixed)","90","false","ILLEGAL_PROMISE","5","A fixed monthly payout from stock market investment is not a legal product in India. This is the standard structure of a Ponzi scheme.","Banning of Unregulated Deposit Schemes Act 2019; SEBI (PFUTP) Regulations 2003"
"ZERO_RISK_EQUITY","(?:\b(?:no\s*risk|zero\s*risk|risk\s*free|riskfree|100\s*%\s*safe)\b|बिना\s*जोखिम|जोखिम\s*नहीं)","\b(?:equity|share|shares|stock|market|trading|invest\w*|nifty|option|f\s*&\s*o|intraday|शेयर|निवेश)\b","UNSPECIFIED","subject\s+to\s+market\s+risk|read\s+all\s+scheme\s+related|past\s+performance|no\s+assurance\s+or\s+guarantee|does\s+not\s+guarantee|not\s+indicative\s+of\s+future|||\b(?:not|no)\b[^.!?\n]{0,20}risk\s*free","90","false","CONTRADICTION","5","Equity and derivatives carry market risk by definition. A risk-free equity return is a contradiction, not a product.","SEBI (PFUTP) Regulations 2003, Reg 4(2)(k) - misleading advertisement"
"DOUBLE_YOUR_MONEY","\b(?:money|capital|investment|amount|paisa|पैसा|रकम|निवेश)\b","\b(?:double|triple|dugna|doguna|दोगुना|तिगुना|2\s*x|3\s*x|5\s*x|10\s*x)\b","UNSPECIFIED","subject\s+to\s+market\s+risk|read\s+all\s+scheme\s+related|past\s+performance|no\s+assurance\s+or\s+guarantee|does\s+not\s+guarantee|not\s+indicative\s+of\s+future","60","false","IMPLAUSIBLE_RETURN","5","Promises of doubling money in a fixed period are the signature of investment fraud. No legitimate market product works this way.","SEBI (PFUTP) Regulations 2003, Reg 3 & 4"
"IPO_GUARANTEED_ALLOTMENT","\b(?:ipo|allotment|allotted|alloted)\b","(?:\b(?:guarante+d?|gaurante+d?|assured|assure|promise|fixed|certain|confirm(?:ed)?|100\s*%|pakka)\b|पक्का|गारंटी|गारंटीड)","UNSPECIFIED","asba|application\s+supported|blocked\s+in\s+your\s+own|lottery|computeri[sz]ed|basis\s+of\s+allotment|registrar\s+to\s+the\s+issue","70","false","UNREGISTERED_OFFER","5","IPO allotment in an oversubscribed issue is decided by a computerised lottery run by the registrar. Nobody can guarantee you an allotment.","SEBI (ICDR) Regulations 2018"
"PRE_IPO_EXCLUSIVE","\b(?:pre[\s\-]*ipo|pre[\s\-]*listing|unlisted\s*share|grey\s*market|gray\s*market)\b","\b(?:exclusive|guarante+d?|limited|confirm(?:ed)?|special\s*quota|book\s*now|assured|buy|invest|allotment)\b","UNSPECIFIED","asba|registrar\s+to\s+the\s+issue","80","true","UNREGISTERED_OFFER","4","Exclusive or guaranteed pre-IPO allotments sold over chat are almost always fake. Genuine pre-IPO transfers happen through a demat account with a documented contract.","SEBI (ICDR) Regulations 2018; Companies Act 2013 s.42"
"FOREX_BINARY_SCHEME","\b(?:forex|binary\s*option|crypto\s*arbitrage|commodity\s*jackpot)\b","\b(?:guarante+d?|assured|fixed|daily\s*profit|high\s*return|double|invest|join)\b","UNSPECIFIED","rbi\s+alert\s+list|prohibited|not\s+permitted|beware","80","false","UNREGULATED_PRODUCT","5","Retail forex and binary options trading on overseas electronic platforms is prohibited for Indian residents. There is no recovery route if you lose money there.","FEMA 1999; RBI Alert List of unauthorised forex platforms"
"PAY_TAX_TO_WITHDRAW","\b(?:tax|tds|gst|processing\s*fee|clearance\s*fee|withdrawal\s*fee|service\s*charge|conversion\s*fee|unlock\s*fee|convenience\s*fee)\b","\b(?:pay|deposit|submit|clear|jama|remit)\b[^.!?\n]{0,45}\b(?:withdraw|release|unlock|receive|redeem|get\s*your|transfer|credit)\b","FROM_USER","deducted\s+from|will\s+be\s+debited|as\s+per\s+the\s+tariff|annual\s+maintenance|statutory\s+levy|tds\s+certificate|form\s+16","100","true","FAKE_APP_SIGNATURE","5","Being asked to pay a fee before you can withdraw your own money is the defining move of a fake trading app. Real brokers deduct charges from the payout; they never ask you to send money first.","SEBI (Stock Brokers) Regulations 1992; BNS 2023 s.318"
"WITHDRAWAL_BLOCKED_PAY","\b(?:withdrawal|payout|redemption)\b[^.!?\n]{0,30}\b(?:blocked|on\s*hold|pending|frozen|failed|restricted)\b","\b(?:pay|paid|transfer|remit|deposit|send|sending|credit|fund|neft|rtgs|imps|upi|top\s*-?\s*up|recharge|scan|wire)\b","FROM_USER","settlement\s+cycle|t\+\d|bank\s+holiday|will\s+be\s+credited|processed\s+within","100","true","FAKE_APP_SIGNATURE","5","Your withdrawal is blocked until you pay something. This is how fake investment apps extract a second round of money from victims.","BNS 2023 s.318 (cheating)"
"PERSONAL_ACCOUNT_INVESTMENT","\b(?:my|his|her|this|below|following)\s+(?:personal\s+)?(?:account|upi|number|a/c|gpay|phonepe|paytm)\b","\b(?:pay|paid|transfer|remit|deposit|send|sending|credit|fund|neft|rtgs|imps|upi|top\s*-?\s*up|recharge|scan|wire)\b","FROM_USER","registrar\s+and\s+(?:share\s+)?transfer\s+agent|depository\s+participant|\bRTA\b|<DP_CLIENT_ID>|<CDSL_BOID>|<NSDL_BOID>|<FOLIO>|||registered\s+bank\s+account|your\s+own\s+bank|asba|client\s+bank\s+account","80","true","MONEY_ROUTING","5","Investment money must go to the intermediary's own designated bank account, never to an individual's personal UPI or account. This is the single clearest sign of fraud.","SEBI circular on UPI mechanism for registered intermediaries (effective 01 Oct 2025)"
