alias,entity_name,source
cdsl,Central Depository Services India Limited,manual_curation_2026-08
central depository services,Central Depository Services India Limited,manual_curation_2026-08
nsdl,National Securities Depository Limited,manual_curation_2026-08
national securities depository,National Securities Depository Limited,manual_curation_2026-08
cams,Computer Age Management Services Limited,manual_curation_2026-08
kfin,KFin Technologies Limited,manual_curation_2026-08
kfintech,KFin Technologies Limited,manual_curation_2026-08
karvy,KFin Technologies Limited,manual_curation_2026-08
link intime,MUFG Intime India Private Limited,manual_curation_2026-08
mufg intime,MUFG Intime India Private Limited,manual_curation_2026-08
sebi,Securities and Exchange Board of India,manual_curation_2026-08
rbi,Reserve Bank of India,manual_curation_2026-08
nse,National Stock Exchange of India,manual_curation_2026-08
bse,BSE Limited,manual_curation_2026-08
amfi,Association of Mutual Funds in India,manual_curation_2026-08
ril,Reliance Industries Limited,manual_curation_2026-08
tcs,Tata Consultancy Services Limited,manual_curation_2026-08
hdfc bank,HDFC Bank Limited,manual_curation_2026-08
icici bank,ICICI Bank Limited,manual_curation_2026-08
sbi,State Bank of India,manual_curation_2026-08
state bank,State Bank of India,manual_curation_2026-08
lic,Life Insurance Corporation of India,manual_curation_2026-08
ongc,Oil and Natural Gas Corporation Limited,manual_curation_2026-08
ntpc,NTPC Limited,manual_curation_2026-08
bpcl,Bharat Petroleum Corporation Limited,manual_curation_2026-08
hpcl,Hindustan Petroleum Corporation Limited,manual_curation_2026-08
iocl,Indian Oil Corporation Limited,manual_curation_2026-08
itc,ITC Limited,manual_curation_2026-08
hul,Hindustan Unilever Limited,manual_curation_2026-08
l and t,Larsen and Toubro Limited,manual_curation_2026-08
lt,Larsen and Toubro Limited,manual_curation_2026-08
m and m,Mahindra and Mahindra Limited,manual_curation_2026-08
sbi mutual fund,SBI Funds Management Limited,manual_curation_2026-08
sbi funds management,SBI Funds Management Limited,manual_curation_2026-08
zerodha,Zerodha Broking Limited,manual_curation_2026-08
groww,Groww Invest Tech Private Limited,manual_curation_2026-08
angel one,Angel One Limited,manual_curation_2026-08
upstox,Upstox Securities Private Limited,manual_curation_2026-08
hdfc securities,HDFC Securities Limited,manual_curation_2026-08
kotak securities,Kotak Securities Limited,manual_curation_2026-08
icici direct,ICICI Securities Limited,manual_curation_2026-08
