domain,entity_name,entity_type,relationship,authority,source
sebi.gov.in,Securities and Exchange Board of India,REGULATOR,OFFICIAL,REGULATOR,manual_curation_2026-08
scores.sebi.gov.in,Securities and Exchange Board of India,REGULATOR,INVESTOR_SERVICES,REGULATOR,manual_curation_2026-08
investor.sebi.gov.in,Securities and Exchange Board of India,REGULATOR,INVESTOR_SERVICES,REGULATOR,manual_curation_2026-08
smartodr.in,SEBI SMART ODR Portal,REGULATOR,INVESTOR_SERVICES,REGULATOR,manual_curation_2026-08
cybercrime.gov.in,National Cyber Crime Reporting Portal,REGULATOR,INVESTOR_SERVICES,REGULATOR,manual_curation_2026-08
nseindia.com,National Stock Exchange of India,EXCHANGE,OFFICIAL,EXCHANGE,manual_curation_2026-08
bseindia.com,BSE Limited,EXCHANGE,OFFICIAL,EXCHANGE,manual_curation_2026-08
bsestarmf.in,BSE Limited,EXCHANGE,TRADING_PLATFORM,EXCHANGE,manual_curation_2026-08
nsdl.co.in,National Securities Depository Limited,DEPOSITORY,OFFICIAL,DEPOSITORY,manual_curation_2026-08
evoting.nsdl.com,National Securities Depository Limited,DEPOSITORY,EVOTING,DEPOSITORY,manual_curation_2026-08
nsdl.com,National Securities Depository Limited,DEPOSITORY,OFFICIAL,DEPOSITORY,manual_curation_2026-08
cdslindia.com,Central Depository Services India Limited,DEPOSITORY,OFFICIAL,DEPOSITORY,manual_curation_2026-08
evotingindia.com,Central Depository Services India Limited,DEPOSITORY,EVOTING,DEPOSITORY,manual_curation_2026-08
evoting.cdslindia.com,Central Depository Services India Limited,DEPOSITORY,EVOTING,DEPOSITORY,manual_curation_2026-08
web.cdslindia.com,Central Depository Services India Limited,DEPOSITORY,INVESTOR_SERVICES,DEPOSITORY,manual_curation_2026-08
kfintech.com,KFin Technologies Limited,RTA,OFFICIAL,RTA,manual_curation_2026-08
ris.kfintech.com,KFin Technologies Limited,RTA,INVESTOR_SERVICES,RTA,manual_curation_2026-08
evoting.kfintech.com,KFin Technologies Limited,RTA,EVOTING,RTA,manual_curation_2026-08
karisma.kfintech.com,KFin Technologies Limited,RTA,INVESTOR_SERVICES,RTA,manual_curation_2026-08
linkintime.co.in,MUFG Intime India Private Limited,RTA,OFFICIAL,RTA,manual_curation_2026-08
instavote.linkintime.co.in,MUFG Intime India Private Limited,RTA,EVOTING,RTA,manual_curation_2026-08
in.mpms.mufg.com,MUFG Intime India Private Limited,RTA,OFFICIAL,RTA,manual_curation_2026-08
camsonline.com,Computer Age Management Services Limited,RTA,OFFICIAL,RTA,manual_curation_2026-08
bigshareonline.com,Bigshare Services Private Limited,RTA,OFFICIAL,RTA,manual_curation_2026-08
ivote.bigshareonline.com,Bigshare Services Private Limited,RTA,EVOTING,RTA,manual_curation_2026-08
integratedregistry.in,Integrated Registry Management Services,RTA,OFFICIAL,RTA,manual_curation_2026-08
skylinerta.com,Skyline Financial Services Private Limited,RTA,OFFICIAL,RTA,manual_curation_2026-08
masserv.com,MAS Services Limited,RTA,OFFICIAL,RTA,manual_curation_2026-08
purvashare.com,Purva Sharegistry India Private Limited,RTA,OFFICIAL,RTA,manual_curation_2026-08
mfcentral.com,MF Central,RTA,INVESTOR_SERVICES,RTA,manual_curation_2026-08
